"ID";"Populatie";"KenmerkenVanHuishoudens";"RegioS";"Perioden";"ParticuliereHuishoudens_1";"ParticuliereHuishoudensRelatief_2";"GemiddeldGestandaardiseerdInkomen_3";"MediaanGestandaardiseerdInkomen_4";"GemiddeldBesteedbaarInkomen_5";"MediaanBesteedbaarInkomen_6";"GestandaardiseerdInkomen1e10Groep_7";"GestandaardiseerdInkomen2e10Groep_8";"GestandaardiseerdInkomen3e10Groep_9";"GestandaardiseerdInkomen4e10Groep_10";"GestandaardiseerdInkomen5e10Groep_11";"GestandaardiseerdInkomen6e10Groep_12";"GestandaardiseerdInkomen7e10Groep_13";"GestandaardiseerdInkomen8e10Groep_14";"GestandaardiseerdInkomen9e10Groep_15";"GestandaardiseerdInkomen10e10Groep_16"
"73091";"1050010";"1013400";"PV27  ";"2022JJ00";"   743.7";"      54";"    41.0";"    36.8";"    60.4";"    52.5";"       7";"       4";"       7";"       8";"      10";"      11";"      11";"      12";"      14";"      16"
"73092";"1050010";"1013400";"PV27  ";"2023JJ00";"   757.2";"      54";"    43.7";"    39.5";"    64.2";"    56.2";"       7";"       4";"       7";"       9";"      10";"      10";"      11";"      12";"      14";"      16"
"73093";"1050010";"1013400";"PV27  ";"2024JJ00";"   766.8";"      54";"    46.5";"    42.3";"    68.4";"    59.9";"       6";"       4";"       7";"       9";"      10";"      10";"      11";"      12";"      14";"      16"
"73104";"1050010";"1013400";"PV28  ";"2021JJ00";"   914.9";"      54";"    36.4";"    34.1";"    54.7";"    49.6";"       7";"       5";"       7";"       9";"      10";"      11";"      12";"      13";"      14";"      12"
"73105";"1050010";"1013400";"PV28  ";"2022JJ00";"   933.4";"      54";"    38.3";"    36.0";"    57.5";"    52.1";"       7";"       5";"       7";"       9";"      10";"      11";"      12";"      13";"      14";"      13"
"73106";"1050010";"1013400";"PV28  ";"2023JJ00";"   943.0";"      54";"    41.3";"    38.8";"    61.8";"    56.1";"       7";"       4";"       7";"       9";"      10";"      11";"      12";"      13";"      14";"      13"
"73107";"1050010";"1013400";"PV28  ";"2024JJ00";"   953.1";"      54";"    44.1";"    41.6";"    66.2";"    60.0";"       6";"       4";"       7";"       9";"      10";"      11";"      12";"      13";"      14";"      13"
"73118";"1050010";"1013400";"PV29  ";"2021JJ00";"    86.1";"      49";"    35.4";"    33.8";"    53.7";"    50.5";"       4";"       5";"       7";"      10";"      12";"      13";"      14";"      14";"      13";"       9"
"73119";"1050010";"1013400";"PV29  ";"2022JJ00";"    87.6";"      49";"    37.2";"    35.6";"    56.3";"    53.0";"       4";"       4";"       8";"      10";"      11";"      13";"      14";"      14";"      13";"       9"
"73120";"1050010";"1013400";"PV29  ";"2023JJ00";"    88.4";"      49";"    40.0";"    38.2";"    60.5";"    56.9";"       4";"       4";"       8";"      10";"      11";"      13";"      14";"      14";"      13";"       9"
